Time,145827
a,b,valid,Percentage_of_results
13,23,True,0.5
9,31,False,1.5
15,15,False,0.2
7,15,False,0.5
11,29,False,0.9
9,27,False,2.9
11,13,False,1.0
13,21,False,0.3
19,9,False,0.6
11,25,False,2.9
9,19,False,0.9
11,17,False,0.7
23,15,False,0.3
3,29,False,2.2
27,11,False,1.4
15,25,False,0.3
27,14,False,0.1
7,21,False,0.2
19,25,False,0.7
25,15,False,0.4
15,17,False,0.6
9,3,False,0.3
11,9,False,3.1
11,27,False,3.4
3,13,False,0.6
19,11,False,0.6
27,9,False,0.8
13,19,False,1.0
25,27,False,0.4
11,31,False,1.1
3,19,False,0.7
27,17,False,0.3
10,9,False,0.3
11,21,False,0.4
13,25,False,0.4
23,11,False,0.2
5,15,False,0.3
27,25,False,0.6
21,11,False,0.2
5,27,False,0.8
21,19,False,0.2
3,9,False,0.7
13,18,False,0.2
21,3,False,0.1
9,9,False,0.2
3,23,False,0.4
23,7,False,0.1
31,19,False,0.3
27,15,False,0.5
11,15,False,1.4
9,15,False,0.3
11,11,False,3.1
11,26,False,0.8
15,11,False,1.2
11,8,False,0.1
19,13,False,0.5
3,31,False,0.9
15,13,False,0.1
19,23,False,0.1
27,13,False,0.6
19,29,False,0.8
31,13,False,0.4
31,17,False,0.2
10,13,False,0.4
7,9,False,0.1
11,5,False,0.2
5,31,False,0.3
11,19,False,2.1
14,17,False,0.1
25,3,False,0.2
15,19,False,0.9
5,19,False,0.2
11,1,False,0.2
1,17,False,0.2
9,10,False,0.1
21,25,False,0.2
10,31,False,0.7
3,27,False,2.0
19,15,False,0.6
15,21,False,0.2
1,31,False,0.6
5,23,False,0.2
18,31,False,0.2
27,7,False,0.2
9,25,False,0.8
15,10,False,0.3
3,11,False,1.1
1,27,False,0.5
11,10,False,0.5
17,25,False,0.3
1,19,False,0.3
23,19,False,0.1
25,17,False,0.1
15,23,False,0.2
15,9,False,0.2
19,7,False,0.1
11,24,False,0.4
17,21,False,0.1
9,30,False,0.2
7,31,False,0.1
2,29,False,0.4
1,11,False,0.3
2,13,False,0.1
3,25,False,0.8
10,25,False,0.3
3,1,False,0.1
3,17,False,0.1
19,5,False,0.3
29,3,False,0.1
18,17,False,0.1
25,9,False,0.1
3,15,False,0.8
25,11,False,0.1
26,11,False,0.3
3,7,False,0.2
15,27,False,0.5
13,11,False,0.3
11,23,False,0.8
30,3,False,0.1
17,27,False,0.4
11,18,False,0.1
2,31,False,0.4
31,11,False,0.5
9,21,False,0.1
31,3,False,0.2
3,21,False,0.1
29,17,False,0.3
29,8,False,0.1
13,17,False,0.3
21,18,False,0.1
18,9,False,0.2
13,29,False,0.1
9,29,False,0.3
7,19,False,0.3
23,9,False,0.1
10,11,False,0.9
18,13,False,0.3
9,11,False,0.5
10,15,False,1.3
31,10,False,0.1
25,21,False,0.1
7,11,False,0.5
31,9,False,0.4
10,17,False,0.2
4,19,False,0.1
29,18,False,0.1
1,3,False,0.1
17,19,False,0.2
13,27,False,0.4
31,21,False,0.1
11,3,False,0.6
19,27,False,0.5
2,27,False,0.1
6,7,False,0.1
27,3,False,0.6
3,30,False,0.3
19,31,False,0.4
27,21,False,0.3
5,11,False,0.1
29,15,False,0.1
11,30,False,0.2
27,10,False,0.2
19,12,False,0.1
2,15,False,0.7
2,11,False,0.2
10,7,False,0.1
3,3,False,0.2
23,5,False,0.2
11,14,False,0.2
21,24,False,0.1
21,26,False,0.1
7,17,False,0.1
2,9,False,0.1
26,23,False,0.1
1,29,False,0.3
23,3,False,0.2
26,25,False,0.1
6,3,False,0.1
25,23,False,0.3
13,7,False,0.1
27,2,False,0.1
8,29,False,0.1
8,19,False,0.1
4,27,False,0.2
1,13,False,0.1
26,15,False,0.1
21,23,False,0.2
27,26,False,0.2
17,14,False,0.1
18,15,False,0.2
21,9,False,0.1
21,15,False,0.1
21,21,False,0.1
1,14,False,0.2
11,7,False,0.1
3,6,False,0.1
22,15,False,0.2
10,27,False,0.9
1,15,False,0.4
27,27,False,0.4
13,14,False,0.1
15,26,False,0.1
15,18,False,0.1
14,19,False,0.1
17,13,False,0.1
9,23,False,0.3
1,25,False,0.2
9,7,False,0.2
29,19,False,0.1
12,17,False,0.1
12,27,False,0.1
22,25,False,0.1
21,17,False,0.1
0,15,False,0.1
9,24,False,0.1
25,0,False,0.1
10,29,False,0.3
27,23,False,0.1
31,15,False,0.1
13,15,False,0.1
19,10,False,0.2
23,21,False,0.2
27,8,False,0.2
17,11,False,0.2
9,17,False,0.2
17,17,False,0.1
17,31,False,0.4
27,24,False,0.2
25,31,False,0.1
13,16,False,0.1
26,29,False,0.2
31,8,False,0.3
3,26,False,0.2
29,9,False,0.1
10,1,False,0.1
7,27,False,0.1
14,11,False,0.1
25,29,False,0.2
27,29,False,0.1
21,31,False,0.2
15,8,False,0.1
19,17,False,0.1
13,9,False,0.1
9,26,False,0.2
7,29,False,0.1
23,17,False,0.1
3,28,False,0.1
17,30,False,0.1
12,25,False,0.1
27,16,False,0.1
10,5,False,0.1
17,9,False,0.1
24,31,False,0.1
13,10,False,0.1
9,13,False,0.1
15,2,False,0.1
29,25,False,0.1
4,29,False,0.1
13,24,False,0.1
26,9,False,0.2
5,26,False,0.1
5,21,False,0.1
9,5,False,0.1
6,27,False,0.1
4,7,False,0.1
16,31,False,0.1
13,3,False,0.1
25,13,False,0.2
15,3,False,0.2
15,14,False,0.2
26,27,False,0.2
25,25,False,0.1
15,5,False,0.1
25,26,False,0.1
27,19,False,0.1
12,23,False,0.1
21,5,False,0.1
10,3,False,0.1
7,23,False,0.1
1,22,False,0.1
15,7,False,0.1
19,3,False,0.1
7,3,False,0.1
4,23,False,0.1
4,21,False,0.1
30,9,False,0.1
1,7,False,0.1
8,15,False,0.1
