Time,249982
a,b,valid,Percentage_of_results
9,27,False,1.0
27,13,False,0.1
9,31,False,7.8
5,31,False,4.3
27,25,False,0.3
1,31,False,7.0
23,11,False,0.3
9,29,False,1.7
17,23,False,0.4
11,29,False,1.1
5,15,False,0.1
13,27,False,1.2
13,29,False,2.2
15,25,False,1.3
15,31,False,0.8
15,21,False,0.8
29,11,False,0.2
13,31,False,2.6
25,11,False,0.1
9,23,False,0.4
21,31,False,3.3
17,31,False,4.2
13,25,False,0.7
5,29,False,1.7
9,25,False,0.5
9,7,False,0.3
15,29,False,0.5
8,31,False,1.8
29,5,False,0.1
3,29,False,0.9
7,21,False,0.4
29,21,False,0.2
19,31,False,0.6
29,23,False,0.2
17,27,False,0.6
21,11,False,0.2
21,29,False,1.0
31,1,False,0.4
29,19,False,0.6
13,19,False,0.4
1,23,False,0.3
11,27,False,0.5
1,29,False,2.5
15,16,False,0.1
15,27,False,1.7
15,19,False,0.4
21,1,False,0.1
13,21,False,0.6
13,11,False,0.1
13,7,False,0.1
15,17,False,0.8
7,1,False,0.2
7,25,False,0.8
14,31,False,0.2
21,23,False,0.5
31,21,False,0.3
21,27,False,1.5
21,9,False,0.1
23,19,False,0.4
13,23,True,0.4
7,29,False,0.5
23,27,False,0.7
22,23,False,0.1
8,21,False,0.1
29,7,False,0.2
21,17,False,0.1
11,25,False,0.5
0,15,False,0.1
15,1,False,0.3
3,25,False,0.2
21,13,False,0.2
3,31,False,1.2
7,23,False,0.2
5,27,False,0.5
15,23,False,0.1
14,5,False,0.2
25,27,False,0.8
9,15,False,0.2
5,25,False,0.4
10,15,False,0.1
29,13,False,0.1
19,27,False,0.5
25,19,False,0.1
22,21,False,0.2
26,29,False,0.1
15,9,False,0.3
23,23,False,0.3
10,29,False,0.2
21,19,False,0.5
31,11,False,0.1
23,17,False,0.3
29,15,False,0.1
31,17,False,0.6
29,27,False,0.5
15,13,False,0.1
7,31,False,0.5
31,5,False,0.1
19,23,False,0.2
7,17,False,0.2
11,31,False,1.5
3,27,False,0.5
23,21,False,0.2
25,15,False,0.5
9,26,False,0.1
13,9,False,0.2
13,13,False,0.1
5,21,False,0.2
14,21,False,0.2
7,27,False,1.3
15,26,False,0.1
13,15,False,0.1
31,9,False,0.1
12,25,False,0.1
13,17,False,0.2
27,17,False,0.1
0,31,False,0.8
15,3,False,0.1
23,9,False,0.1
1,27,False,0.1
16,31,False,0.7
8,29,False,0.5
0,29,False,0.5
31,23,False,0.2
19,29,False,0.4
31,25,False,0.3
23,25,False,0.4
7,9,False,0.1
27,27,False,0.5
5,30,False,0.1
29,25,False,0.3
21,26,False,0.1
29,9,False,0.2
21,3,False,0.1
4,21,False,0.1
20,27,False,0.2
23,31,False,0.5
25,31,False,1.2
27,19,False,0.2
29,31,False,0.8
27,11,False,0.2
21,10,False,0.1
10,27,False,0.1
31,27,False,0.3
31,19,False,0.3
6,29,False,0.3
4,29,False,0.3
23,29,False,0.1
29,17,False,0.2
19,21,False,0.2
17,25,False,0.1
17,15,False,0.1
21,25,False,0.3
20,19,False,0.1
5,11,False,0.1
25,23,False,0.1
17,29,False,0.6
0,21,False,0.1
3,15,False,0.1
29,29,False,0.4
23,1,False,0.1
25,3,False,0.1
3,9,False,0.1
7,26,False,0.1
2,31,False,0.3
4,31,False,0.6
14,29,False,0.1
5,13,False,0.2
30,17,False,0.1
17,17,False,0.1
13,3,False,0.1
12,15,False,0.1
11,19,False,0.1
29,0,False,0.1
6,9,False,0.1
10,31,False,0.2
31,13,False,0.1
20,31,False,0.7
20,29,False,0.1
0,13,False,0.1
19,22,False,0.1
22,31,False,0.2
8,15,False,0.1
20,25,False,0.1
28,21,False,0.1
19,19,False,0.1
22,29,False,0.1
3,26,False,0.1
24,23,False,0.1
12,5,False,0.1
11,13,False,0.1
10,21,False,0.1
14,9,False,0.1
12,31,False,0.1
3,21,False,0.1
6,17,False,0.1
25,21,False,0.1
4,23,False,0.1
18,31,False,0.2
1,25,False,0.1
11,23,False,0.1
31,31,False,0.1
30,19,False,0.1
12,29,False,0.2
6,31,False,0.1
